Category: All categories

Region,parents divorce: (2015)
South Dakota,
Vermont,
Wyoming,
Alaska,
Nebraska,100
New Hampshire,
Connecticut,100
Hawaii,88
Missouri,88
Mississippi,85
Arkansas,80
Oklahoma,77
Minnesota,77
Nevada,77
Wisconsin,74
Alabama,74
Massachusetts,74
Indiana,74
Delaware,
Illinois,71
Idaho,71
Michigan,68
Tennessee,65
North Carolina,65
Kentucky,65
Georgia,65
Iowa,65
Rhode Island,62
Florida,62
Louisiana,62
New Jersey,62
North Dakota,
California,60
Texas,60
South Carolina,60
Ohio,60
New Mexico,
Arizona,60
Utah,57
Maryland,57
New York,57
Pennsylvania,54
Washington,54
Oregon,51
Kansas,51
Colorado,51
District of Columbia,
Virginia,48
Montana,
West Virginia,
Maine,
