Category: All categories

Region,parents divorce: (2008)
North Dakota,
Delaware,
Rhode Island,100
West Virginia,
Montana,
Oklahoma,57
Kansas,57
New Hampshire,
Iowa,53
South Dakota,
Minnesota,46
Indiana,43
Arizona,42
Massachusetts,38
New Jersey,34
Georgia,34
Louisiana,32
Tennessee,32
District of Columbia,
Maryland,31
Nevada,31
Missouri,30
Texas,30
Michigan,28
North Carolina,27
Colorado,27
Ohio,27
Alabama,26
Pennsylvania,26
Maine,
Illinois,24
Hawaii,24
South Carolina,24
Oregon,21
Wisconsin,21
Virginia,21
California,21
New York,21
Florida,20
Utah,19
Washington,17
Connecticut,16
Kentucky,15
Alaska,
Arkansas,
Idaho,
Mississippi,
Nebraska,
New Mexico,
Vermont,
Wyoming,
