Category: All categories

Region,parents divorce: (2005)
Mississippi,100
South Dakota,
Montana,
Nevada,41
New Hampshire,
Alabama,19
Kentucky,16
Kansas,15
Ohio,14
Wisconsin,13
Oklahoma,13
Florida,11
Maryland,10
Indiana,10
New Jersey,10
District of Columbia,
Oregon,10
Minnesota,9
Michigan,9
Georgia,9
Connecticut,9
Colorado,9
Massachusetts,7
North Carolina,6
California,6
Virginia,6
New York,6
Tennessee,6
Pennsylvania,6
Washington,5
Texas,5
Illinois,4
Arizona,3
Missouri,2
Alaska,
Arkansas,
Delaware,
Hawaii,
Iowa,
Idaho,
Louisiana,
Maine,
North Dakota,
Nebraska,
New Mexico,
Rhode Island,
South Carolina,
Utah,
Vermont,
West Virginia,
Wyoming,
