Category: All categories

Region,parents divorce: (2020)
North Dakota,
Delaware,
South Dakota,
Maine,
Iowa,100
Kentucky,100
Alabama,100
West Virginia,
Utah,93
Montana,
Connecticut,89
Hawaii,89
Washington,89
Michigan,86
Virginia,86
Vermont,
Arkansas,82
Idaho,82
Georgia,82
Arizona,82
Minnesota,82
New Jersey,79
Indiana,79
Maryland,75
Oklahoma,75
Missouri,75
Wisconsin,75
Colorado,75
Kansas,75
Mississippi,75
Nebraska,75
California,75
North Carolina,75
Massachusetts,75
South Carolina,75
Texas,75
Illinois,72
Tennessee,72
Pennsylvania,72
Alaska,
New Hampshire,
New Mexico,
Oregon,72
Ohio,68
Florida,68
Louisiana,65
New York,65
Rhode Island,65
District of Columbia,
Nevada,62
Wyoming,
