Category: All categories

Region,parents divorce: (2009)
Delaware,
Nebraska,100
South Dakota,
North Dakota,
Montana,
Iowa,52
Mississippi,51
Wyoming,
Tennessee,46
Alabama,46
Utah,44
New Jersey,41
Indiana,40
West Virginia,
Rhode Island,38
Maine,
Oklahoma,36
Illinois,36
Michigan,35
Minnesota,35
Kentucky,34
Pennsylvania,34
North Carolina,34
Missouri,34
New Hampshire,
Ohio,33
Louisiana,33
Arizona,32
Georgia,32
Vermont,
South Carolina,32
Kansas,32
Texas,30
Florida,29
New York,28
District of Columbia,
Wisconsin,27
Massachusetts,26
Connecticut,26
Oregon,25
Washington,25
Maryland,23
California,22
Colorado,21
Virginia,17
Nevada,17
Arkansas,17
Hawaii,16
Alaska,
Idaho,
New Mexico,
