Category: All categories

Region,parents divorce: (2007)
Wyoming,
North Dakota,
Vermont,
Oklahoma,100
Nebraska,98
South Dakota,
Oregon,88
Indiana,86
New Mexico,
Idaho,74
Iowa,68
Montana,
Tennessee,64
Kentucky,62
Wisconsin,60
Rhode Island,58
Connecticut,56
Illinois,50
Minnesota,50
Mississippi,47
District of Columbia,
Louisiana,43
Washington,43
Georgia,43
Missouri,39
Ohio,39
Hawaii,37
Florida,37
Massachusetts,37
Michigan,37
Texas,35
New York,35
Maryland,35
California,33
Arizona,33
Pennsylvania,31
Colorado,29
Kansas,29
Virginia,27
North Carolina,27
Utah,27
New Jersey,13
Alaska,
Alabama,
Arkansas,
Delaware,
Maine,
New Hampshire,
Nevada,
South Carolina,
West Virginia,
