Category: All categories

Region,parents divorce: (2013)
Delaware,
Connecticut,100
Nebraska,100
Alaska,
North Dakota,
Alabama,89
New Hampshire,
South Carolina,82
Tennessee,79
Kentucky,76
Indiana,76
Oklahoma,76
Wisconsin,76
Mississippi,76
Michigan,74
Maryland,71
Utah,71
New Jersey,71
Idaho,71
Missouri,69
Pennsylvania,66
Massachusetts,66
Iowa,66
Arizona,66
North Carolina,66
Illinois,64
Virginia,64
Kansas,64
Ohio,64
Washington,61
Maine,
California,58
Texas,58
Minnesota,58
Montana,
New Mexico,
Georgia,56
Florida,56
New York,53
Nevada,53
West Virginia,
District of Columbia,
Louisiana,51
Colorado,51
Arkansas,51
Oregon,46
Rhode Island,46
South Dakota,
Hawaii,41
Vermont,
Wyoming,
