Category: All categories

Region,parents divorce: (2021)
Utah,100
Delaware,
Idaho,87
Hawaii,84
Arkansas,79
West Virginia,
Maine,
Montana,
Oklahoma,74
Wisconsin,71
Arizona,69
Iowa,69
Nebraska,66
Indiana,64
Mississippi,64
Georgia,64
California,64
Texas,64
Kansas,61
Minnesota,61
Wyoming,
Missouri,61
Tennessee,61
North Carolina,58
Oregon,58
Alabama,58
Illinois,58
New Jersey,56
Washington,56
Massachusetts,56
Rhode Island,56
South Carolina,56
Ohio,56
Pennsylvania,56
Kentucky,56
Colorado,53
Michigan,53
Florida,51
New Hampshire,
Connecticut,51
Maryland,51
Virginia,51
District of Columbia,
New Mexico,
Nevada,46
North Dakota,
Louisiana,43
New York,43
Vermont,
Alaska,
South Dakota,
