Category: All categories

Region,Dependent personality disorder: (2010)
Delaware,100
New Mexico,73
Montana,67
Rhode Island,47
Alaska,
New Hampshire,42
Iowa,40
Louisiana,37
Indiana,34
Vermont,26
Maine,26
Tennessee,24
Pennsylvania,24
Ohio,21
Kentucky,21
Oklahoma,19
Michigan,19
North Carolina,19
Wisconsin,16
Connecticut,16
New Jersey,16
Mississippi,14
Massachusetts,14
Maryland,14
Texas,14
Hawaii,
Minnesota,14
Florida,14
Georgia,13
South Carolina,13
New York,13
Illinois,13
District of Columbia,13
Missouri,11
Washington,9
Arizona,9
California,8
Colorado,8
Virginia,6
Alabama,
Arkansas,
Idaho,
Kansas,
North Dakota,
Nebraska,
Nevada,
Oregon,
South Dakota,
Utah,
West Virginia,
Wyoming,
