Category: All categories

Region,Dependent personality disorder: (2008)
South Dakota,
Hawaii,
Indiana,100
Iowa,88
Montana,88
Rhode Island,88
Connecticut,85
Nebraska,77
Missouri,70
New Mexico,66
Colorado,62
Utah,48
Oregon,48
Minnesota,48
Michigan,44
Arkansas,44
District of Columbia,40
Louisiana,40
Maryland,40
Washington,37
Wisconsin,37
Pennsylvania,37
Oklahoma,33
Massachusetts,29
Arizona,29
Kentucky,29
North Carolina,25
Florida,25
Alabama,25
New Jersey,22
Ohio,22
Texas,22
Georgia,18
New York,18
California,14
Virginia,14
Alaska,
Delaware,
Idaho,
Illinois,
Kansas,
Maine,
Mississippi,
North Dakota,
New Hampshire,
Nevada,
South Carolina,
Tennessee,
Vermont,
West Virginia,
Wyoming,
