Category: All categories

Region,Dependent personality disorder: (2015)
New Hampshire,100
South Dakota,
West Virginia,50
Mississippi,47
Maine,47
Kentucky,41
Louisiana,41
Wisconsin,41
Missouri,38
Indiana,35
Connecticut,35
Minnesota,35
Rhode Island,32
Ohio,32
Arkansas,32
Colorado,29
Delaware,29
Massachusetts,29
New Jersey,26
Pennsylvania,26
Maryland,26
Illinois,26
Kansas,23
North Carolina,23
Georgia,20
Tennessee,20
Washington,20
Oklahoma,20
Nebraska,20
Alabama,17
Arizona,17
New York,17
Michigan,17
New Mexico,17
California,17
Utah,17
Florida,14
Texas,14
Oregon,14
Virginia,11
South Carolina,8
Nevada,5
District of Columbia,5
Alaska,
Hawaii,
Iowa,
Idaho,
Montana,
North Dakota,
Vermont,
Wyoming,
