Category: All categories

Region,gender dysphoria: (2020)
South Dakota,100
Vermont,80
Maine,77
Oregon,75
Kentucky,71
Washington,68
Idaho,68
Minnesota,68
Utah,63
Kansas,63
Nebraska,63
Connecticut,62
Missouri,59
Wisconsin,58
Arkansas,58
Iowa,57
Maryland,57
Nevada,57
Massachusetts,57
Colorado,57
Indiana,57
New Hampshire,57
Ohio,55
Oklahoma,55
Michigan,55
West Virginia,54
New Jersey,54
Virginia,53
Pennsylvania,51
Arizona,50
North Carolina,50
Alabama,49
Rhode Island,48
Illinois,48
Louisiana,48
California,48
Alaska,46
Tennessee,46
New Mexico,46
South Carolina,46
New York,45
Montana,45
Texas,44
Georgia,42
Florida,41
North Dakota,41
Mississippi,41
District of Columbia,41
Delaware,40
Hawaii,40
Wyoming,27
