Category: All categories

Region,gender dysphoria: (2019)
South Dakota,100
Vermont,94
Oregon,94
Idaho,82
Utah,79
Washington,78
Connecticut,78
New Hampshire,77
Maine,75
Montana,75
Missouri,74
District of Columbia,74
Minnesota,72
Nebraska,71
Rhode Island,71
Delaware,68
Kentucky,68
Kansas,67
Massachusetts,67
Indiana,66
Iowa,64
Colorado,64
Wisconsin,64
Arizona,64
Ohio,63
Oklahoma,62
Pennsylvania,59
Michigan,59
Virginia,58
Wyoming,58
Illinois,58
Maryland,58
New Jersey,56
West Virginia,55
New York,54
Tennessee,52
North Carolina,52
California,51
Georgia,51
Nevada,50
Arkansas,50
Texas,47
Alaska,47
South Carolina,45
Florida,44
New Mexico,44
Louisiana,44
North Dakota,41
Mississippi,41
Alabama,40
Hawaii,31
