Category: All categories

Region,gender dysphoria: (2018)
Rhode Island,100
Oregon,91
Maine,78
South Dakota,73
Vermont,69
Minnesota,65
Arkansas,65
West Virginia,64
Washington,64
Idaho,64
Kansas,64
Delaware,64
Massachusetts,64
Wisconsin,61
Iowa,61
Connecticut,61
District of Columbia,61
Indiana,60
Virginia,60
Missouri,60
Nebraska,58
Ohio,57
Alaska,56
Illinois,56
Arizona,56
Montana,56
Kentucky,56
Utah,56
Pennsylvania,54
Oklahoma,53
Michigan,53
Maryland,52
Colorado,52
New Mexico,50
New Hampshire,50
North Carolina,49
New York,49
Nevada,47
South Carolina,46
California,46
Tennessee,45
New Jersey,45
Texas,43
Florida,43
Georgia,42
Louisiana,42
Hawaii,41
Mississippi,38
North Dakota,38
Alabama,36
Wyoming,
