Category: All categories

Region,gender dysphoria: (2021)
Alaska,100
Oregon,94
Vermont,94
Idaho,92
Utah,81
Maine,79
Washington,77
Connecticut,76
Iowa,76
Montana,76
Wisconsin,75
Minnesota,75
Missouri,74
Virginia,71
Rhode Island,71
Indiana,70
Maryland,70
Kansas,68
Kentucky,68
Massachusetts,68
Colorado,67
Oklahoma,66
New Hampshire,66
North Dakota,64
Michigan,63
Ohio,63
Arizona,63
New Jersey,62
District of Columbia,61
Hawaii,59
Pennsylvania,59
Illinois,59
New Mexico,59
North Carolina,58
South Dakota,58
Delaware,58
South Carolina,58
Alabama,55
Arkansas,55
West Virginia,55
New York,55
Nevada,54
Louisiana,54
Nebraska,54
California,54
Tennessee,54
Texas,51
Georgia,50
Florida,46
Mississippi,42
Wyoming,41
