Category: All categories

Region,gender dysphoria: (2014)
Vermont,100
Wyoming,62
Alaska,62
New Hampshire,60
Nebraska,57
Alabama,55
Nevada,52
Delaware,47
West Virginia,47
Wisconsin,47
Idaho,47
Washington,45
Rhode Island,42
Oklahoma,37
Pennsylvania,37
Massachusetts,37
Indiana,37
District of Columbia,35
Ohio,35
North Carolina,35
California,35
Tennessee,35
Missouri,35
Illinois,35
Arkansas,35
Utah,35
Michigan,35
Minnesota,32
New Jersey,32
Connecticut,32
Colorado,32
Oregon,32
New York,30
New Mexico,30
Mississippi,27
Georgia,27
Maryland,27
Maine,27
Montana,27
South Carolina,27
Florida,27
Kansas,25
Arizona,25
South Dakota,25
Virginia,25
North Dakota,25
Texas,22
Kentucky,22
Hawaii,22
Louisiana,20
Iowa,17
