Category: All categories

Region,crazy ex: (2008)
West Virginia,100
Delaware,42
Wyoming,
Indiana,27
Mississippi,17
Arkansas,17
Alabama,16
Connecticut,13
Oklahoma,12
Wisconsin,10
Missouri,9
Kansas,9
Washington,9
Tennessee,9
Texas,8
District of Columbia,8
Florida,7
Illinois,7
Colorado,7
Georgia,7
Louisiana,7
Iowa,7
New York,6
North Carolina,6
Arizona,6
Ohio,6
Minnesota,6
Pennsylvania,5
Massachusetts,5
Michigan,5
Maryland,4
Virginia,4
California,3
Oregon,3
New Jersey,2
Alaska,
Hawaii,
Idaho,
Kentucky,
Maine,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Rhode Island,
South Carolina,
South Dakota,
Utah,
Vermont,
