Category: All categories

Region,guilty: (2010)
Connecticut,100
North Dakota,97
Maryland,93
Rhode Island,88
West Virginia,86
District of Columbia,85
New Jersey,85
Hawaii,84
South Carolina,84
New Mexico,84
New York,83
Nevada,83
Missouri,83
Indiana,82
Georgia,82
Ohio,82
Alabama,82
Mississippi,82
Arkansas,81
Pennsylvania,81
North Carolina,80
Louisiana,80
Montana,80
Oklahoma,79
Kansas,79
South Dakota,79
Massachusetts,79
Arizona,78
Delaware,78
Michigan,78
Illinois,77
Florida,74
New Hampshire,74
Tennessee,73
Kentucky,73
Wisconsin,72
Oregon,71
Iowa,70
Washington,69
Utah,66
Texas,65
Maine,65
Colorado,64
Minnesota,64
Vermont,63
Alaska,61
California,59
Nebraska,57
Wyoming,53
Idaho,50
Virginia,49
