Category: All categories

Region,guilty: (2007)
New York,100
Mississippi,98
Nevada,97
Maryland,96
Connecticut,95
South Dakota,93
New Jersey,93
District of Columbia,91
Alaska,90
Tennessee,89
Virginia,88
Massachusetts,88
Florida,87
Michigan,84
Pennsylvania,83
Louisiana,83
Vermont,82
Hawaii,81
South Carolina,81
California,80
Illinois,80
Wyoming,80
Georgia,79
Texas,79
Delaware,79
Rhode Island,78
Washington,78
New Mexico,77
Missouri,77
Indiana,76
West Virginia,76
Alabama,75
Ohio,75
Colorado,75
Nebraska,75
Oklahoma,75
Arizona,74
North Carolina,74
North Dakota,73
New Hampshire,72
Kansas,72
Oregon,71
Kentucky,71
Arkansas,70
Idaho,67
Maine,66
Iowa,64
Wisconsin,62
Utah,59
Minnesota,57
Montana,38
