Category: All categories

Region,guilty: (2016)
New York,100
New Jersey,99
Vermont,98
Minnesota,97
West Virginia,96
Delaware,95
Rhode Island,90
Alaska,90
Mississippi,90
California,89
Illinois,89
Arkansas,87
District of Columbia,87
New Hampshire,86
Oklahoma,86
Georgia,85
Pennsylvania,85
Kentucky,84
Alabama,84
Massachusetts,83
North Carolina,83
South Carolina,83
Nevada,82
Louisiana,82
Ohio,82
Michigan,82
Texas,82
Florida,82
Connecticut,80
Virginia,80
Hawaii,80
North Dakota,79
Iowa,79
South Dakota,79
Indiana,78
Maryland,78
New Mexico,78
Kansas,77
Washington,75
Nebraska,75
Montana,74
Wisconsin,73
Missouri,72
Tennessee,72
Idaho,70
Wyoming,70
Maine,70
Utah,70
Oregon,69
Arizona,69
Colorado,65
