Category: All categories

Region,guilty: (2006)
West Virginia,100
Delaware,81
Mississippi,73
New Hampshire,71
Arkansas,69
Tennessee,69
District of Columbia,68
Connecticut,68
Maryland,68
New Jersey,68
South Dakota,66
Nevada,66
New York,65
Maine,64
Massachusetts,64
Texas,63
California,63
Virginia,62
Louisiana,62
Florida,61
South Carolina,60
Washington,59
Kentucky,59
Pennsylvania,59
Alabama,59
Illinois,58
Idaho,57
Arizona,57
Michigan,56
Ohio,56
North Carolina,56
Hawaii,55
Oregon,54
Rhode Island,54
Missouri,54
Georgia,54
Nebraska,52
Kansas,51
Minnesota,49
Colorado,49
Wyoming,48
Oklahoma,43
Wisconsin,43
Utah,42
Indiana,42
New Mexico,40
Iowa,39
North Dakota,33
Montana,29
Alaska,24
Vermont,19
