Category: All categories

Region,guilty: (2011)
New York,100
Delaware,98
Louisiana,97
West Virginia,97
Florida,96
California,96
Alabama,95
New Hampshire,94
District of Columbia,93
South Carolina,92
Nevada,92
Arkansas,91
Maryland,91
Connecticut,91
Tennessee,90
Hawaii,89
Pennsylvania,89
Kentucky,88
Wyoming,88
Indiana,87
New Jersey,87
Virginia,87
South Dakota,86
Mississippi,86
Oklahoma,86
Maine,86
Kansas,85
Nebraska,85
Missouri,84
Illinois,84
Vermont,84
Texas,84
Alaska,84
Georgia,83
Iowa,83
North Dakota,83
Rhode Island,82
Ohio,81
New Mexico,81
Idaho,81
Oregon,80
Arizona,80
Massachusetts,79
North Carolina,76
Washington,76
Montana,76
Wisconsin,76
Minnesota,76
Michigan,75
Colorado,71
Utah,69
