Category: All categories

Region,guilty: (2017)
Minnesota,100
Vermont,95
Delaware,84
New Jersey,81
New York,80
Pennsylvania,79
Massachusetts,74
California,74
Arkansas,73
Illinois,72
Texas,72
Connecticut,71
District of Columbia,71
Virginia,71
Rhode Island,71
Alaska,70
Maryland,70
New Hampshire,69
Florida,69
Georgia,69
Alabama,69
South Dakota,69
Iowa,68
Mississippi,68
Oklahoma,68
Nevada,68
Louisiana,68
Maine,68
North Carolina,68
North Dakota,67
West Virginia,67
South Carolina,67
Ohio,66
Hawaii,66
Missouri,65
Indiana,65
Montana,64
Idaho,62
Washington,62
Kentucky,62
Michigan,61
New Mexico,61
Arizona,61
Utah,59
Oregon,59
Kansas,58
Tennessee,58
Nebraska,57
Wisconsin,57
Wyoming,56
Colorado,54
