Category: All categories

Region,alcohol: (2016)
Alaska,100
Montana,98
New Mexico,97
North Dakota,97
Indiana,96
Maine,95
Michigan,93
Massachusetts,92
Minnesota,92
Connecticut,91
District of Columbia,91
New Hampshire,90
Nebraska,90
Washington,90
Colorado,90
Pennsylvania,88
Delaware,88
Oregon,87
Kentucky,86
Rhode Island,86
West Virginia,85
Vermont,85
Missouri,85
Illinois,85
Arkansas,85
Ohio,84
South Dakota,84
Arizona,83
Georgia,83
Virginia,83
Iowa,82
North Carolina,82
Kansas,82
Texas,81
Wisconsin,81
New Jersey,81
Florida,80
Oklahoma,80
Maryland,79
Nevada,79
Idaho,79
Alabama,78
Tennessee,78
South Carolina,77
Wyoming,76
California,76
New York,76
Louisiana,74
Mississippi,74
Hawaii,73
Utah,66
