Category: All categories

Region,alcohol: (2008)
North Dakota,100
South Dakota,95
Delaware,94
Indiana,92
Alaska,90
Vermont,90
Montana,89
New Mexico,88
Maine,88
Pennsylvania,86
Wyoming,86
New Hampshire,84
Colorado,84
Rhode Island,84
Minnesota,83
Wisconsin,81
Idaho,81
West Virginia,80
Connecticut,80
Iowa,77
Oregon,76
Maryland,75
Michigan,75
Massachusetts,75
Ohio,75
Nebraska,74
Washington,73
New York,72
Kentucky,72
North Carolina,71
Mississippi,70
Missouri,69
Illinois,69
New Jersey,69
Texas,67
Arkansas,67
Florida,66
District of Columbia,65
South Carolina,65
Nevada,65
Hawaii,65
Kansas,65
Louisiana,64
Alabama,63
Virginia,63
Oklahoma,62
Georgia,61
California,61
Tennessee,60
Arizona,60
Utah,56
