Category: All categories

Region,alcohol: (2019)
New Mexico,100
Alaska,99
Oregon,92
Montana,91
Nebraska,91
Vermont,89
North Dakota,88
Indiana,88
Nevada,88
Colorado,85
Wisconsin,84
Maine,84
Washington,84
Arizona,84
Minnesota,84
Florida,83
Pennsylvania,83
New Hampshire,82
Rhode Island,82
Idaho,82
Kentucky,81
Tennessee,81
Massachusetts,81
Missouri,81
Alabama,81
Connecticut,81
West Virginia,80
Arkansas,79
Kansas,79
Iowa,78
Texas,78
South Dakota,77
Michigan,77
North Carolina,77
Virginia,77
Illinois,77
Georgia,77
Louisiana,76
Delaware,76
Maryland,76
Ohio,75
Hawaii,73
California,73
Utah,73
Wyoming,72
South Carolina,70
Oklahoma,70
New York,70
Mississippi,69
New Jersey,68
District of Columbia,67
