Category: All categories

Region,alcohol: (2015)
New Mexico,100
New Hampshire,99
Michigan,99
Maine,98
Massachusetts,97
Indiana,97
District of Columbia,96
Missouri,95
Connecticut,95
Kentucky,95
Wisconsin,95
Colorado,95
Nebraska,94
North Dakota,94
Alaska,93
West Virginia,93
Oklahoma,93
Montana,93
Minnesota,92
Ohio,91
Rhode Island,91
Georgia,91
Pennsylvania,91
Washington,90
Wyoming,90
California,88
Florida,88
Nevada,88
Iowa,88
Oregon,88
Hawaii,87
Arkansas,87
Vermont,87
Illinois,87
South Carolina,86
North Carolina,86
Maryland,84
Tennessee,84
South Dakota,84
Delaware,83
Arizona,83
Mississippi,83
Texas,83
Alabama,82
Louisiana,82
New York,81
New Jersey,80
Idaho,76
Utah,75
Kansas,72
Virginia,56
