Category: All categories

Region,alcohol: (2005)
North Dakota,100
South Dakota,95
Montana,79
Delaware,76
Wyoming,76
Alaska,74
New Mexico,73
Rhode Island,72
Pennsylvania,71
Nebraska,71
Mississippi,71
Maine,70
Iowa,69
Indiana,69
Vermont,69
Virginia,67
Connecticut,67
Oregon,67
Idaho,67
West Virginia,66
New Hampshire,66
Wisconsin,64
Kentucky,63
Massachusetts,62
Minnesota,62
Oklahoma,61
Michigan,61
Kansas,60
Hawaii,60
South Carolina,59
Louisiana,59
Washington,59
Arkansas,59
Nevada,59
Colorado,58
Ohio,58
Illinois,58
Missouri,57
Maryland,56
Alabama,55
Tennessee,55
Texas,54
North Carolina,54
New York,54
Utah,53
Florida,53
California,52
District of Columbia,51
Arizona,51
New Jersey,50
Georgia,46
