Category: All categories

Region,alcohol: (2013)
Minnesota,100
Florida,95
Missouri,95
Massachusetts,95
Pennsylvania,94
Washington,94
Indiana,91
Michigan,89
Wisconsin,89
Colorado,88
Illinois,88
Virginia,87
New Mexico,87
Georgia,87
Alaska,87
New Hampshire,86
Iowa,86
District of Columbia,85
Maine,85
Nevada,85
Connecticut,85
Arizona,85
Kentucky,85
West Virginia,85
Maryland,84
Louisiana,84
North Dakota,84
New York,83
Hawaii,83
Ohio,83
Montana,82
Vermont,82
Arkansas,82
South Carolina,82
Delaware,82
Nebraska,81
Tennessee,81
California,81
North Carolina,80
Wyoming,80
Idaho,80
Texas,79
South Dakota,79
Oklahoma,79
Kansas,79
Rhode Island,78
New Jersey,77
Mississippi,75
Alabama,74
Utah,69
Oregon,65
