Category: All categories

Region,alcohol: (2006)
North Dakota,100
Vermont,80
Delaware,79
Alaska,77
Montana,75
South Dakota,74
Rhode Island,69
Iowa,67
New Mexico,66
Kentucky,65
Michigan,64
Pennsylvania,64
Maine,63
Ohio,62
West Virginia,62
Indiana,62
New Hampshire,61
Wyoming,61
Washington,61
Virginia,60
Idaho,60
Wisconsin,59
Kansas,59
Massachusetts,58
Nebraska,58
Mississippi,58
Arkansas,57
Minnesota,57
Connecticut,56
Oregon,56
Oklahoma,56
South Carolina,55
Louisiana,55
North Carolina,54
Maryland,53
Colorado,53
California,52
New York,51
Illinois,51
Alabama,50
New Jersey,49
Missouri,49
Georgia,49
Nevada,49
Hawaii,49
Florida,48
Texas,48
Tennessee,47
Utah,47
District of Columbia,45
Arizona,43
