Category: All categories

Region,alcohol: (2017)
Alaska,100
New Mexico,99
Nebraska,98
Montana,97
North Dakota,96
Pennsylvania,95
Maine,94
Colorado,93
New Hampshire,93
Washington,93
New York,93
South Dakota,93
Florida,92
Massachusetts,92
Michigan,92
Missouri,91
Indiana,90
Nevada,90
District of Columbia,89
Idaho,89
Kentucky,88
Iowa,88
Minnesota,88
Illinois,87
Oregon,87
Ohio,87
Connecticut,87
Louisiana,87
Tennessee,86
Rhode Island,86
West Virginia,85
Maryland,84
Delaware,84
Alabama,84
Georgia,84
Kansas,84
Arizona,83
Wisconsin,83
New Jersey,82
Utah,82
Arkansas,82
Texas,82
North Carolina,82
Oklahoma,81
California,80
Vermont,80
Wyoming,79
Hawaii,78
Virginia,77
South Carolina,75
Mississippi,71
