Category: All categories

Region,alcohol: (2007)
North Dakota,100
South Dakota,85
Delaware,85
West Virginia,84
Vermont,82
New Mexico,81
Montana,80
Rhode Island,78
Wisconsin,78
Wyoming,77
Alaska,77
Indiana,76
Maine,76
New Hampshire,75
Michigan,75
Iowa,75
Pennsylvania,74
Maryland,72
Nebraska,72
Kentucky,71
Colorado,70
Massachusetts,69
Idaho,69
Washington,69
Minnesota,69
Ohio,67
Missouri,67
Mississippi,66
Oregon,65
Connecticut,64
Kansas,62
California,62
North Carolina,61
Virginia,61
Illinois,61
Oklahoma,61
Texas,60
New York,60
District of Columbia,60
South Carolina,59
Florida,59
Arizona,59
Arkansas,58
Louisiana,58
New Jersey,57
Nevada,57
Alabama,57
Georgia,57
Hawaii,57
Utah,54
Tennessee,53
