Category: All categories

Region,hate myself: (2015)
Rhode Island,100
Maine,88
Mississippi,77
Indiana,76
Iowa,73
West Virginia,72
Montana,71
Kentucky,70
New Hampshire,68
South Carolina,64
Colorado,63
Minnesota,62
Massachusetts,61
Oklahoma,61
Pennsylvania,59
Arizona,59
Michigan,59
Illinois,59
Ohio,56
Arkansas,56
Alabama,55
Wisconsin,55
New Jersey,54
Nebraska,54
Maryland,53
Utah,52
Georgia,51
Texas,51
Oregon,50
California,50
Washington,50
North Carolina,50
Tennessee,50
Florida,49
Missouri,49
New York,49
Louisiana,47
Kansas,47
Virginia,45
Nevada,45
New Mexico,44
Hawaii,43
Idaho,43
Connecticut,41
North Dakota,
Wyoming,
Delaware,
Vermont,
South Dakota,
Alaska,
District of Columbia,
