Category: All categories

Region,hate myself: (2012)
Maine,100
Rhode Island,98
New Hampshire,90
West Virginia,77
Iowa,72
Connecticut,71
Montana,71
Utah,70
Oklahoma,69
Indiana,68
South Carolina,67
Pennsylvania,67
Hawaii,66
Arkansas,65
Oregon,64
New Jersey,63
Michigan,63
New Mexico,62
Mississippi,62
Minnesota,61
Washington,61
Kentucky,60
Wisconsin,60
Massachusetts,60
Ohio,59
New York,59
Colorado,58
Arizona,57
Idaho,57
Kansas,57
Texas,55
Illinois,55
Georgia,54
Nevada,54
Alabama,51
Tennessee,51
Florida,50
North Carolina,50
Louisiana,50
California,49
Virginia,48
Maryland,48
Missouri,47
Nebraska,30
North Dakota,
Delaware,
Wyoming,
South Dakota,
Alaska,
District of Columbia,
Vermont,
