Category: All categories

Region,hate myself: (2005)
West Virginia,100
Mississippi,39
North Carolina,36
Maine,34
Indiana,33
Montana,32
Wisconsin,31
Michigan,31
Nevada,30
Pennsylvania,28
Rhode Island,28
Illinois,28
Maryland,26
Kentucky,26
Tennessee,26
Ohio,26
Texas,25
Alabama,25
New York,24
Virginia,24
Georgia,23
Massachusetts,23
Utah,23
Missouri,23
Nebraska,22
Minnesota,22
Idaho,21
New Hampshire,20
New Jersey,20
South Carolina,20
Hawaii,18
Florida,17
Iowa,17
Louisiana,16
California,14
Arizona,14
Kansas,13
Washington,13
Oregon,12
Connecticut,11
Oklahoma,11
Colorado,11
Wyoming,
South Dakota,
Delaware,
North Dakota,
Vermont,
District of Columbia,
Arkansas,
New Mexico,
Alaska,
