Category: All categories

Region,hate myself: (2017)
West Virginia,100
Maine,85
Utah,76
Iowa,76
Colorado,74
Indiana,73
Oregon,73
Ohio,70
Kentucky,70
Minnesota,69
Wisconsin,69
Idaho,69
Washington,68
Michigan,68
New Mexico,67
Kansas,67
Rhode Island,66
Connecticut,66
Montana,66
Pennsylvania,65
Missouri,64
Oklahoma,64
Arkansas,64
Nevada,64
Louisiana,62
Alabama,62
New Hampshire,62
Massachusetts,62
Tennessee,61
New Jersey,60
Illinois,59
Virginia,58
Maryland,58
North Carolina,57
Georgia,57
South Carolina,55
Arizona,54
California,54
New York,53
Florida,52
Texas,50
Mississippi,49
Nebraska,46
Hawaii,46
Alaska,
Vermont,
North Dakota,
South Dakota,
Wyoming,
Delaware,
District of Columbia,
