Category: All categories

Region,suicide: (2018)
Utah,100
Kansas,95
Idaho,93
Oregon,92
Vermont,92
New Mexico,91
Colorado,91
Washington,90
Nevada,90
Maine,88
Wisconsin,88
Ohio,87
Missouri,87
Indiana,86
New Hampshire,86
West Virginia,86
Pennsylvania,86
Arizona,86
Montana,85
Wyoming,85
California,85
Michigan,84
Connecticut,84
Alaska,83
Maryland,82
South Dakota,81
Tennessee,80
Nebraska,80
Oklahoma,79
Iowa,79
Virginia,79
Kentucky,78
Illinois,78
Minnesota,78
Arkansas,78
Texas,78
New Jersey,77
North Dakota,76
Delaware,76
North Carolina,74
Alabama,74
Mississippi,73
New York,73
South Carolina,73
Louisiana,72
Massachusetts,72
Georgia,71
Hawaii,71
Rhode Island,71
Florida,69
District of Columbia,62
