Category: All categories

Region,suicide: (2013)
Vermont,100
South Dakota,95
Nevada,93
West Virginia,93
Alaska,92
Arizona,92
Pennsylvania,92
Missouri,91
Delaware,91
New Jersey,91
Washington,89
Wyoming,88
California,88
Connecticut,88
Colorado,88
Ohio,88
Indiana,87
Utah,87
Kentucky,87
Louisiana,86
Michigan,86
Virginia,86
Montana,85
Maine,85
Massachusetts,85
Oklahoma,84
New Mexico,84
North Dakota,83
Minnesota,81
Tennessee,81
Iowa,81
Kansas,81
Maryland,80
Wisconsin,80
Florida,80
New Hampshire,79
Idaho,79
Alabama,79
Texas,77
New York,77
North Carolina,77
South Carolina,76
Rhode Island,76
Illinois,76
Georgia,75
District of Columbia,74
Nebraska,73
Arkansas,70
Mississippi,68
Hawaii,66
Oregon,61
