Category: All categories

Region,suicide: (2015)
Wyoming,100
Arizona,94
Nevada,93
Alaska,90
California,88
Utah,88
Illinois,86
Vermont,86
Washington,85
Montana,84
New Mexico,84
New Jersey,84
Minnesota,83
Iowa,83
Nebraska,83
Colorado,83
Indiana,83
Massachusetts,82
Maryland,82
Michigan,82
Ohio,81
Oklahoma,81
District of Columbia,81
North Dakota,81
Pennsylvania,80
Idaho,80
South Dakota,80
Texas,80
Kentucky,79
Missouri,78
Connecticut,77
West Virginia,77
Maine,77
Florida,77
Alabama,75
New York,75
Louisiana,75
Delaware,75
Tennessee,75
Arkansas,74
Hawaii,74
North Carolina,74
Wisconsin,73
South Carolina,73
Rhode Island,72
New Hampshire,71
Georgia,69
Oregon,68
Kansas,66
Mississippi,63
Virginia,55
