Category: All categories

Region,suicide: (2011)
Vermont,100
Oregon,90
Wyoming,89
West Virginia,88
New Hampshire,88
North Dakota,87
Rhode Island,87
Connecticut,85
Pennsylvania,85
New York,84
Indiana,83
Ohio,82
New Jersey,82
Arizona,80
Washington,80
Alaska,79
Montana,79
New Mexico,79
California,79
Massachusetts,78
Maryland,77
Maine,77
Illinois,77
Colorado,76
Michigan,76
Missouri,76
Idaho,76
Delaware,76
Kansas,75
Virginia,74
Nevada,74
South Carolina,73
South Dakota,73
Tennessee,72
Texas,72
District of Columbia,72
Arkansas,72
Minnesota,71
Wisconsin,71
Kentucky,71
Hawaii,70
Oklahoma,69
Nebraska,69
Iowa,68
Florida,67
North Carolina,67
Mississippi,66
Georgia,66
Louisiana,65
Alabama,65
Utah,62
