Category: All categories

Region,suicide: (2005)
South Dakota,100
Wyoming,98
New Mexico,97
Oregon,95
West Virginia,95
North Dakota,95
Alaska,93
Rhode Island,92
Maine,92
Montana,88
Nevada,87
Iowa,84
Indiana,83
Arkansas,83
New Hampshire,82
Michigan,82
Wisconsin,81
Vermont,81
Nebraska,81
Colorado,80
Idaho,80
Kansas,80
Kentucky,80
New York,80
Utah,77
Mississippi,77
Tennessee,77
California,76
Connecticut,76
Oklahoma,76
Texas,75
Louisiana,75
Washington,75
Missouri,75
Pennsylvania,74
Arizona,73
Maryland,73
Illinois,72
Ohio,72
Minnesota,72
Massachusetts,72
Delaware,72
South Carolina,70
Hawaii,70
New Jersey,69
Alabama,65
Virginia,65
North Carolina,65
District of Columbia,62
Georgia,61
Florida,61
