Category: All categories

Region,suicide: (2004)
South Dakota,100
Alaska,97
New Mexico,96
Montana,95
West Virginia,93
Maine,92
Oregon,91
Rhode Island,89
Michigan,83
North Dakota,83
New Hampshire,83
Wisconsin,79
Iowa,78
Indiana,78
Nebraska,78
Arkansas,77
Vermont,77
Utah,77
Kansas,76
Ohio,76
Connecticut,76
Washington,75
Minnesota,75
Kentucky,75
Arizona,74
Pennsylvania,73
Missouri,73
Massachusetts,73
Colorado,73
Louisiana,72
Nevada,71
New York,71
Tennessee,71
New Jersey,70
Wyoming,70
Hawaii,69
California,68
Maryland,67
Oklahoma,66
Delaware,66
Illinois,65
Florida,64
South Carolina,64
Mississippi,63
District of Columbia,62
North Carolina,61
Virginia,61
Idaho,60
Georgia,60
Alabama,60
Texas,56
