Category: All categories

Region,suicide: (2021)
Utah,100
Oregon,100
Colorado,99
Wyoming,97
Arizona,96
Vermont,94
Alaska,94
New Mexico,92
California,91
Missouri,91
Washington,90
Idaho,89
Kansas,89
West Virginia,88
North Dakota,88
Nevada,88
Ohio,87
Nebraska,87
New Hampshire,87
Michigan,86
Wisconsin,86
Illinois,85
Montana,85
Maryland,85
Arkansas,84
Minnesota,84
Iowa,84
Pennsylvania,84
Oklahoma,83
Maine,82
Indiana,81
Kentucky,81
Texas,80
Tennessee,79
Massachusetts,78
South Dakota,78
Virginia,78
North Carolina,77
Rhode Island,76
Connecticut,76
Alabama,75
Georgia,75
Delaware,74
Louisiana,74
New Jersey,74
Hawaii,73
Mississippi,70
District of Columbia,70
Florida,70
South Carolina,70
New York,69
