Category: All categories

Region,suicide: (2008)
Wyoming,100
South Dakota,97
Vermont,96
Maine,95
Alaska,94
West Virginia,94
Montana,93
Washington,93
Kentucky,92
Pennsylvania,89
Iowa,87
Delaware,87
Missouri,87
Michigan,87
Nevada,87
North Dakota,87
New Hampshire,87
Ohio,87
New Jersey,86
New Mexico,85
Arkansas,85
Nebraska,85
Idaho,84
New York,84
Colorado,84
Oklahoma,83
Oregon,82
Rhode Island,82
Massachusetts,81
Connecticut,81
Hawaii,81
Illinois,80
Kansas,80
Indiana,79
Texas,79
Alabama,78
North Carolina,77
Utah,77
Arizona,77
Louisiana,77
Florida,76
South Carolina,75
Georgia,75
Maryland,75
Mississippi,74
California,74
Wisconsin,72
Tennessee,72
Minnesota,71
District of Columbia,70
Virginia,57
