Category: All categories

Region,suicide: (2010)
Massachusetts,100
New Hampshire,95
Rhode Island,91
South Dakota,83
Delaware,83
Wyoming,83
Alaska,81
Pennsylvania,81
West Virginia,81
New Mexico,81
North Dakota,81
Colorado,80
Maine,80
Arizona,79
New Jersey,79
Missouri,79
New York,79
Hawaii,78
Michigan,78
Washington,78
Arkansas,78
Nevada,77
Vermont,76
Texas,75
Ohio,75
Kansas,75
North Carolina,74
Idaho,73
Oregon,72
Oklahoma,72
Iowa,72
Maryland,72
Illinois,72
Montana,72
District of Columbia,71
Connecticut,71
Kentucky,70
Wisconsin,70
Mississippi,70
Indiana,69
Minnesota,68
Louisiana,68
Nebraska,67
Utah,67
Alabama,66
Florida,66
South Carolina,65
Georgia,61
Tennessee,60
California,52
Virginia,44
