Category: All categories

Region,suicide: (2012)
Delaware,100
Wyoming,98
Nevada,96
Alaska,95
Arizona,94
Massachusetts,93
Kansas,93
Virginia,92
Oregon,91
Vermont,91
Washington,91
Pennsylvania,90
California,90
Kentucky,90
Indiana,89
Oklahoma,89
Michigan,89
Missouri,89
North Dakota,88
Ohio,88
Illinois,88
Rhode Island,87
Colorado,87
South Dakota,86
West Virginia,85
Iowa,85
New Hampshire,84
Idaho,84
Utah,82
New Mexico,82
Texas,82
Maine,82
Montana,81
Wisconsin,81
New Jersey,81
New York,81
Maryland,81
District of Columbia,80
Tennessee,79
Minnesota,78
Louisiana,78
Connecticut,78
South Carolina,77
Florida,75
Alabama,74
Arkansas,74
North Carolina,73
Georgia,72
Nebraska,72
Hawaii,70
Mississippi,66
