Category: All categories

Region,suicide: (2006)
New Mexico,100
Vermont,99
Pennsylvania,99
South Dakota,96
Rhode Island,91
Montana,87
Oregon,86
Nebraska,85
Maine,85
Idaho,83
Nevada,82
New Hampshire,82
Alaska,80
Wyoming,80
Kentucky,79
Indiana,78
North Dakota,77
Connecticut,77
West Virginia,75
Colorado,74
California,74
Oklahoma,73
Kansas,72
Michigan,72
Wisconsin,72
Missouri,72
Iowa,72
Mississippi,72
New York,71
Washington,70
Ohio,69
Maryland,69
Delaware,69
Illinois,68
Arkansas,68
Utah,67
Arizona,67
Tennessee,66
Louisiana,66
Texas,65
Massachusetts,65
District of Columbia,65
Minnesota,64
Hawaii,64
South Carolina,64
Florida,63
Alabama,62
New Jersey,61
North Carolina,59
Virginia,58
Georgia,55
