Category: All categories

Region,suicide: (2020)
Idaho,100
Utah,95
Alaska,92
Oregon,92
Arizona,91
Wyoming,89
Vermont,88
Colorado,88
Oklahoma,87
Washington,86
Indiana,85
Nevada,84
New Mexico,84
North Dakota,83
Wisconsin,83
Kansas,83
Missouri,83
Texas,83
Nebraska,82
Connecticut,82
Minnesota,81
Montana,81
California,80
Tennessee,80
Pennsylvania,80
Iowa,79
Maine,79
South Dakota,78
Kentucky,78
Virginia,77
New Hampshire,77
Ohio,77
West Virginia,77
New Jersey,76
Arkansas,76
Maryland,76
Massachusetts,75
Illinois,75
Hawaii,75
North Carolina,75
Michigan,73
Florida,71
Louisiana,71
Georgia,70
Delaware,68
South Carolina,68
New York,68
Alabama,67
Mississippi,67
Rhode Island,66
District of Columbia,61
