Category: All categories

Region,suicide: (2016)
Utah,100
New Mexico,99
Nevada,98
Montana,95
Arizona,94
California,92
Texas,92
Oklahoma,91
Colorado,91
Idaho,89
Kentucky,89
Alaska,89
Indiana,88
West Virginia,88
Maine,87
Wyoming,86
Nebraska,85
Missouri,85
Iowa,83
Louisiana,83
Illinois,83
Kansas,82
Michigan,82
New Jersey,82
Connecticut,82
Washington,82
Pennsylvania,82
New Hampshire,82
Tennessee,81
Virginia,81
Alabama,81
Oregon,81
Rhode Island,80
Hawaii,80
Wisconsin,80
Delaware,79
Florida,79
Massachusetts,78
South Dakota,78
Ohio,78
Arkansas,78
Minnesota,77
District of Columbia,76
Maryland,76
North Carolina,75
New York,75
South Carolina,75
Vermont,73
Mississippi,72
North Dakota,72
Georgia,72
