Category: All categories

Region,suicide: (2014)
Alaska,100
Vermont,95
Nevada,93
Wyoming,90
Ohio,90
Montana,89
Arizona,88
Indiana,88
Colorado,87
South Dakota,87
Utah,87
Missouri,86
Washington,86
Kentucky,86
California,86
Delaware,85
Pennsylvania,85
New Mexico,84
Michigan,83
New Jersey,83
Hawaii,83
Louisiana,82
North Dakota,82
Idaho,82
Iowa,81
Massachusetts,81
Minnesota,80
Maine,80
North Carolina,80
West Virginia,80
Maryland,80
New Hampshire,79
Tennessee,79
Illinois,79
Kansas,79
Connecticut,79
District of Columbia,78
Oklahoma,78
New York,78
South Carolina,77
Alabama,77
Wisconsin,76
Texas,76
Georgia,76
Arkansas,75
Nebraska,73
Rhode Island,71
Florida,71
Mississippi,67
Virginia,65
Oregon,56
