Category: All categories

Region,Paranoid personality: (2015)
Alaska,
Montana,
West Virginia,
North Dakota,
Mississippi,
Indiana,100
Arkansas,
Iowa,90
Minnesota,90
Maine,
New Hampshire,
Missouri,80
Hawaii,
Nevada,80
Wisconsin,76
Michigan,76
Colorado,71
Massachusetts,71
Connecticut,71
Oregon,71
Pennsylvania,71
Alabama,71
Ohio,71
New Mexico,
Arizona,66
South Carolina,66
North Carolina,66
New Jersey,66
Georgia,66
Rhode Island,
Oklahoma,
Florida,61
Maryland,57
Tennessee,57
Illinois,57
Washington,57
Louisiana,52
New York,52
Texas,52
Utah,52
California,47
Nebraska,
South Dakota,
Kansas,
Kentucky,47
Delaware,
District of Columbia,
Virginia,38
Idaho,
Vermont,
Wyoming,
