Category: All categories

Region,failure: (2021)
Kentucky,100
Tennessee,99
Missouri,97
Arkansas,97
Texas,95
West Virginia,95
Ohio,94
Maryland,93
North Dakota,93
South Dakota,92
Louisiana,92
Alabama,91
Minnesota,90
Mississippi,90
Indiana,90
Iowa,89
Virginia,89
Wyoming,89
Arizona,88
Oklahoma,88
Michigan,87
Vermont,87
New Mexico,86
Georgia,86
Washington,85
Pennsylvania,85
Illinois,85
Montana,85
North Carolina,84
Kansas,84
Wisconsin,84
Massachusetts,83
New Jersey,82
Idaho,82
Oregon,82
South Carolina,82
Nebraska,82
Alaska,80
Maine,80
California,80
Connecticut,80
Delaware,79
District of Columbia,78
Colorado,77
Florida,77
Utah,77
New Hampshire,75
Nevada,74
Rhode Island,74
New York,72
Hawaii,70
