Category: All categories

Region,failure: (2016)
Kentucky,100
West Virginia,93
Pennsylvania,93
Alabama,93
Missouri,92
Texas,92
Delaware,92
Tennessee,91
Indiana,91
Virginia,91
North Dakota,90
Maryland,90
Ohio,90
South Dakota,89
Wyoming,89
Oklahoma,88
Georgia,88
Connecticut,88
North Carolina,88
Washington,87
Minnesota,87
Montana,87
Kansas,86
Vermont,86
Massachusetts,86
Michigan,85
Wisconsin,84
Arizona,84
Mississippi,84
New Jersey,84
Oregon,84
Alaska,83
Idaho,83
Maine,83
Arkansas,82
South Carolina,82
New Hampshire,82
Louisiana,81
New York,81
Colorado,80
Illinois,80
Florida,80
Nevada,78
Rhode Island,78
District of Columbia,77
Iowa,77
New Mexico,76
Nebraska,74
California,72
Hawaii,72
Utah,68
