Category: All categories

Region,failure: (2007)
Virginia,100
North Dakota,98
West Virginia,97
New Hampshire,95
New Mexico,93
Nebraska,93
Indiana,93
Alabama,91
South Dakota,89
Maryland,89
Oklahoma,89
Tennessee,87
Delaware,87
Kentucky,86
Kansas,85
Texas,85
Massachusetts,84
Pennsylvania,84
Michigan,84
Alaska,84
Mississippi,83
Wyoming,83
Rhode Island,83
Oregon,82
Iowa,82
Missouri,81
Vermont,81
Wisconsin,81
Maine,80
South Carolina,80
New York,80
Arkansas,80
Ohio,79
Washington,79
Minnesota,79
Connecticut,78
Utah,78
North Carolina,77
Nevada,77
Colorado,76
Florida,76
California,76
Idaho,75
Montana,75
Georgia,75
Arizona,74
Louisiana,73
District of Columbia,73
Illinois,72
New Jersey,72
Hawaii,67
