Category: All categories

Region,failure: (2019)
Tennessee,100
Louisiana,90
Pennsylvania,89
Arkansas,89
Missouri,86
Mississippi,85
Virginia,85
Oklahoma,85
West Virginia,84
Ohio,84
Kentucky,84
Indiana,84
Alabama,84
Texas,83
Kansas,83
Michigan,82
South Dakota,82
Arizona,80
Washington,80
Alaska,80
North Carolina,80
North Dakota,80
Connecticut,79
Georgia,79
Colorado,79
Wisconsin,78
Massachusetts,78
Maryland,78
New Mexico,78
Montana,77
South Carolina,76
Oregon,76
Illinois,76
Nebraska,76
Utah,76
Maine,76
New Jersey,75
New Hampshire,75
Minnesota,74
Delaware,73
Vermont,73
Wyoming,73
Idaho,72
District of Columbia,71
Iowa,71
California,71
Florida,70
New York,68
Rhode Island,67
Nevada,65
Hawaii,62
