Category: All categories

Region,failure: (2020)
Virginia,100
Arkansas,98
Indiana,96
Missouri,96
Oklahoma,95
Massachusetts,95
West Virginia,95
North Dakota,94
Ohio,93
Alabama,92
Minnesota,92
Mississippi,91
North Carolina,91
Kentucky,91
Pennsylvania,91
Wisconsin,90
Oregon,90
Tennessee,90
Texas,90
Georgia,90
Louisiana,89
Connecticut,89
New Mexico,88
Illinois,88
South Carolina,88
Kansas,88
Michigan,87
Utah,86
Maryland,86
Iowa,86
Washington,86
Arizona,86
South Dakota,86
Wyoming,85
Alaska,85
Montana,85
Florida,84
Idaho,83
Vermont,82
Maine,82
Nebraska,81
California,81
Delaware,81
New Hampshire,80
New York,79
New Jersey,78
Colorado,78
District of Columbia,78
Nevada,76
Hawaii,75
Rhode Island,74
