Category: All categories

Region,failure: (2012)
West Virginia,100
Virginia,96
Alabama,93
Tennessee,91
Arkansas,89
Oregon,88
Pennsylvania,86
Wyoming,86
North Dakota,86
Idaho,85
Ohio,85
Indiana,85
Maryland,84
Delaware,84
New Mexico,82
Connecticut,81
North Carolina,81
Maine,81
Vermont,81
Kentucky,80
Oklahoma,80
Washington,80
Missouri,79
California,79
Georgia,78
Michigan,78
Texas,78
South Dakota,78
Minnesota,78
New Hampshire,77
Alaska,77
Massachusetts,77
New Jersey,77
Arizona,77
Montana,76
Nebraska,76
Mississippi,76
Kansas,76
Wisconsin,75
Louisiana,75
Colorado,74
Hawaii,74
Rhode Island,73
Illinois,73
South Carolina,72
Utah,71
Iowa,70
Florida,70
District of Columbia,70
New York,65
Nevada,64
