Category: All categories

Region,gender identity: (2017)
Vermont,100
Iowa,79
Rhode Island,74
Maryland,72
Oregon,71
Colorado,70
Connecticut,68
Massachusetts,67
Wisconsin,62
Hawaii,62
Washington,62
Nebraska,61
North Dakota,61
New Hampshire,59
Delaware,58
Alaska,58
Montana,57
Idaho,57
Indiana,55
South Dakota,55
Virginia,55
Kansas,55
Arizona,55
New York,54
Minnesota,54
West Virginia,54
California,53
Missouri,51
Michigan,51
Ohio,51
Maine,51
Utah,50
Pennsylvania,50
Oklahoma,48
Kentucky,48
South Carolina,48
North Carolina,46
Arkansas,46
District of Columbia,46
Illinois,45
Mississippi,45
New Jersey,45
Georgia,42
Tennessee,41
Alabama,40
Florida,38
New Mexico,38
Nevada,38
Texas,37
Louisiana,35
Wyoming,32
