Category: All categories

Region,gender identity: (2009)
New Hampshire,100
Wyoming,97
Delaware,87
Kentucky,85
Mississippi,81
Utah,80
Kansas,72
Vermont,71
Iowa,67
Nevada,67
North Dakota,65
New Mexico,65
Idaho,64
Wisconsin,61
Arizona,60
Indiana,60
Connecticut,58
Louisiana,54
Arkansas,52
Michigan,51
Illinois,51
Hawaii,50
Colorado,50
New Jersey,50
Ohio,50
Rhode Island,50
Pennsylvania,48
Missouri,48
New York,47
Oregon,45
Maine,45
Minnesota,44
Massachusetts,42
Florida,41
West Virginia,40
Alaska,40
Georgia,38
Tennessee,38
District of Columbia,37
Maryland,34
North Carolina,32
Texas,32
California,28
South Carolina,28
Washington,25
Virginia,22
Oklahoma,20
Alabama,17
Montana,
Nebraska,
South Dakota,
