Category: All categories

Region,gender identity: (2008)
Vermont,100
New Mexico,58
Rhode Island,38
West Virginia,32
Delaware,31
North Dakota,27
Kansas,27
Nevada,27
Colorado,25
Arizona,24
South Dakota,22
Minnesota,22
Indiana,21
Maine,20
Maryland,20
Ohio,19
Michigan,18
New York,18
Massachusetts,17
Oklahoma,17
New Jersey,17
Washington,17
Connecticut,16
Illinois,16
Montana,16
Tennessee,16
Pennsylvania,15
Missouri,15
Georgia,14
Florida,13
District of Columbia,13
South Carolina,13
Arkansas,12
California,12
North Carolina,12
Iowa,12
Louisiana,11
Virginia,11
Texas,11
Kentucky,10
Utah,10
Idaho,9
Oregon,9
New Hampshire,9
Wisconsin,6
Alabama,6
Alaska,
Hawaii,
Mississippi,
Nebraska,
Wyoming,
