Category: All categories

Region,gender identity: (2006)
Delaware,100
West Virginia,99
Wyoming,84
Vermont,61
New Hampshire,56
Rhode Island,47
Iowa,45
Colorado,41
Oregon,40
Oklahoma,38
Nebraska,38
South Carolina,37
North Carolina,37
Connecticut,37
Kansas,36
Kentucky,36
Maryland,36
Mississippi,35
Arizona,34
Nevada,33
Massachusetts,32
Georgia,32
Alabama,30
New York,27
Michigan,27
Pennsylvania,27
Illinois,25
New Jersey,25
Washington,25
California,25
Indiana,23
Hawaii,23
Wisconsin,20
Minnesota,19
Louisiana,19
Florida,19
Ohio,18
District of Columbia,18
Utah,14
Virginia,14
Missouri,12
Texas,11
Tennessee,9
Alaska,
Arkansas,
Idaho,
Maine,
Montana,
North Dakota,
New Mexico,
South Dakota,
