Category: All categories

Region,Fitting in: (2006)
Delaware,100
Rhode Island,47
Iowa,45
North Carolina,37
Montana,36
Indiana,34
South Carolina,29
New York,29
Ohio,28
Virginia,27
New Mexico,27
Connecticut,27
Louisiana,26
New Jersey,26
Massachusetts,26
Maryland,25
Pennsylvania,24
Florida,23
Nevada,23
Kansas,22
California,22
Kentucky,22
Missouri,21
Alabama,20
Illinois,20
Georgia,18
Arizona,18
Utah,18
Texas,18
Washington,17
Minnesota,15
Oklahoma,15
Oregon,14
Wisconsin,14
District of Columbia,13
Colorado,10
Alaska,
Mississippi,
New Hampshire,
Nebraska,
North Dakota,
South Dakota,
Tennessee,
Michigan,
Maine,
Idaho,
Vermont,
Hawaii,
Arkansas,
West Virginia,
Wyoming,
