Category: All categories

Region,Fitting in: (2013)
Delaware,100
Indiana,89
Montana,88
Connecticut,84
Alabama,83
Iowa,82
Missouri,79
Rhode Island,75
North Carolina,74
Virginia,73
South Dakota,72
Massachusetts,72
Colorado,72
Louisiana,71
Kentucky,71
Maryland,70
Ohio,70
South Carolina,68
Arkansas,68
Michigan,68
Pennsylvania,68
New Hampshire,68
District of Columbia,66
Illinois,65
Washington,64
Nebraska,63
Hawaii,63
New Jersey,63
Minnesota,63
Vermont,62
Wisconsin,62
New Mexico,62
Tennessee,61
Mississippi,61
Arizona,60
Oklahoma,60
Texas,56
California,54
Idaho,54
Georgia,54
New York,53
Kansas,51
Nevada,49
Maine,48
Florida,48
West Virginia,46
North Dakota,45
Oregon,42
Utah,42
Wyoming,
Alaska,
