Year,State,Dependent_personality_disorder,therapy_near_me,suicidal_friend,Narcissism,gender_identity,Paranoid,no_friends,weed,sad_music,kill_myself,lesbian,self_harm,parents_divorce,tylenol_overdose,exboyfriend,miss_my_ex,anxiety,feeling_alone,noose,disappointment,conversion_therapy,marijuana,Borderline_personality_disorder,drugs,overdose,how_long_does_it_take_to_bleed_out,parents_hate_me,suicide,carbon_monoxide_poisoning,smoking,sin,moving,hate_myself,Divorce,guns,Histrionic_personality,Fitting_in,Narcissistic_personality,kill_yourself,painless_death,hospital_visit,breakup,tylenol,Jesus,single,failed_test,Narcissistic_personality_disorder,mental_health,suicide_attempt,Bullying,exgirlfriend,Antisocial,poisoning,bulemia,angry_father,lonely,antidepressants,guilty,family_stress,bipolar,gay,Histrionic,feeling_sad,illegal_drugs,advil,jumping,failure,Antisocial_personality_disorder,homophobia,drug_policy,how_to die,Suicide_hotline,Borderline_personality,Obsessive_compulsive_personality,Paranoid_personality,self-injury,Paranoid_personality_disorder,worthless,Avoidant_personality_disorder,alcohol,coming_out,Dependent_personality,crazy_ex,child_abuse,firearms,existential_crisis,I_hate_my_parents,hope,Cant_sleep,abuse,trauma,Antisocial_personality,Dependent,Borderline,trans,Histrionic_personality_disorder,academic_stress,Eating_disorder,Obsessive_compulsive,time_to_die,gender_dysphoria,hanging,ptsd,therapy,faith,molestation,Avoidant_personality,Abusive_parents,i_want_to_die,cigarettes,Coping_with_stress,Obsessive_compulsive_personality_disorder,ocd,anorexia,how_to_do_better_in_school,Avoidant,depression,friends_hate me,transphobia,sexual_abuse,im_stupid,Cutting,stress,tie_a_noose,fast_death,queer,School_stress,hell,Suicide Rate
2004,Illinois,17.0,0,0,18.0,4.0,17.0,8.0,58,0.0,4.0,67,6.0,16.0,12.0,0,0,61,10.0,9.0,20.0,0,44,46.0,62,43,0,0,65,10.0,62,57.0,75,6.0,72,52,5.0,16.0,9.0,20.0,0.0,0.0,42.0,68.0,60,67,26.0,6.0,48,4.0,37.0,19.0,20.0,54,43.0,37.0,53,28.0,48.0,6.0,64,88,17.0,4.0,38.0,29.0,45,72,22.0,29.0,40.0,25.0,5.0,47.0,51.0,36.0,26.0,20.0,9.0,6.0,48,51.0,12.0,1,43,27,0.0,74.0,42,0.0,49,44,9.0,64.0,50.0,88,17.0,0,56.0,40.0,5.0,0.0,70,26.0,67,55,15.0,12.0,0.0,36.0,83,13.0,27.0,37.0,40,12.0,4.0,61,0,7.0,53,2.0,58,57,6.0,0.0,62.0,13.0,70,3.7001909407354563
2004,Indiana,0.0,0,0,27.0,13.0,14.0,0.0,68,0.0,0.0,68,0.0,19.0,18.0,0,0,65,20.0,18.0,21.0,0,58,82.0,79,64,0,0,78,12.0,75,69.0,66,50.0,92,62,0.0,35.0,10.0,12.0,0.0,18.0,28.0,61.0,88,76,26.0,10.0,59,0.0,47.0,80.0,25.0,65,22.0,0,65,23.0,47.0,0.0,77,75,8.0,24.0,49.0,31.0,44,84,32.0,35.0,67.0,26.0,0.0,69.0,0.0,0.0,0,44.0,9.0,19.0,73,45.0,13.0,0,63,41,0.0,0.0,48,0.0,67,37,16.0,54.0,70.0,96,0.0,0,61.0,45.0,10.0,0.0,79,12.0,73,73,40.0,54.0,0.0,64.0,71,0.0,0.0,47.0,64,0,8.0,73,0,0,60,0.0,63,73,0.0,45.0,60.0,29.0,79,5.029603590699606
2004,Iowa,0.0,37.0,0,0.0,0.0,10.0,41.0,70,20.0,14.0,76,21.0,21.0,0.0,0,0,73,0.0,20.0,21.0,0,51,62.0,79,46,0,0,78,28.0,78,53.0,72,18.0,77,64,4.0,44.0,24.0,20.0,0.0,0.0,20.0,59.0,71,74,24.0,0.0,59,0.0,56.0,0.0,14.0,75,100.0,0,55,18.0,67.0,0.0,78,79,25.0,0.0,63.0,23.0,53,81,23.0,0.0,100.0,14.0,0.0,76.0,0.0,76.0,0,59.0,12.0,0.0,69,63.0,0.0,0,93,37,0.0,0.0,47,0.0,86,35,0.0,42.0,58.0,67,0.0,0,67.0,63.0,11.0,0.0,80,35.0,85,78,0.0,29.0,100.0,0.0,70,0.0,0.0,36.0,66,0,22.0,90,0,36.0,80,100.0,66,72,0.0,0.0,68.0,22.0,78,5.575145999135852
2004,Kansas,0.0,0,0,13.0,0.0,24.0,0.0,72,0.0,0.0,76,0.0,0.0,0.0,0,0,49,49.0,11.0,25.0,0,53,28.0,74,54,0,0,76,7.0,67,58.0,71,15.0,84,71,4.0,32.0,17.0,0.0,0.0,0.0,29.0,60.0,75,75,23.0,7.0,66,0.0,37.0,66.0,0.0,65,83.0,0,51,21.0,29.0,56.0,83,79,16.0,0.0,62.0,17.0,47,74,29.0,27.0,20.0,12.0,0.0,10.0,0.0,0.0,0,0.0,25.0,0.0,64,57.0,0.0,0,65,47,0.0,0.0,50,0.0,72,29,7.0,69.0,44.0,97,0.0,0,42.0,49.0,0.0,0.0,73,31.0,79,72,12.0,0.0,0.0,53.0,53,0.0,0.0,29.0,44,0,39.0,75,0,0,48,0.0,61,62,0.0,100.0,61.0,0.0,94,5.373822644311564
2004,Kentucky,0.0,0,0,11.0,19.0,18.0,40.0,61,0.0,0.0,77,0.0,0.0,0.0,0,0,68,47.0,15.0,0.0,0,58,70.0,100,52,0,0,75,16.0,100,44.0,68,22.0,85,83,5.0,74.0,0.0,0.0,0.0,65.0,58.0,66.0,100,90,0.0,11.0,48,0.0,59.0,38.0,0.0,76,0.0,0,42,18.0,69.0,0.0,85,87,0.0,0.0,100.0,35.0,38,89,0.0,29.0,30.0,59.0,0.0,69.0,0.0,0.0,0,0.0,18.0,0.0,68,11.0,100.0,0,66,60,0.0,0.0,50,0.0,76,56,14.0,72.0,67.0,79,45.0,0,31.0,36.0,0.0,0.0,71,11.0,98,73,0.0,0.0,0.0,0.0,62,0.0,0.0,62.0,62,0,0.0,72,0,0,61,0.0,67,74,0.0,0.0,46.0,0.0,85,5.068352855230366
2004,Louisiana,0.0,0,0,17.0,23.0,19.0,0.0,78,0.0,28.0,70,0.0,32.0,0.0,82.0,0,74,0.0,16.0,0.0,18,52,64.0,87,76,0,0,72,11.0,63,65.0,72,35.0,78,71,5.0,0.0,16.0,35.0,0.0,0.0,37.0,78.0,87,79,30.0,9.0,47,0.0,35.0,28.0,10.0,63,72.0,0,51,29.0,91.0,0.0,75,92,14.0,0.0,35.0,27.0,45,82,0.0,20.0,75.0,34.0,0.0,38.0,0.0,0.0,0,0.0,22.0,0.0,54,37.0,0.0,0,48,45,0.0,0.0,44,0.0,62,53,0.0,59.0,62.0,64,0.0,0,47.0,26.0,0.0,0.0,68,29.0,93,75,33.0,41.0,0.0,46.0,55,0.0,0.0,29.0,52,0,0.0,62,0,0,41,0.0,58,66,0.0,0.0,50.0,35.0,69,5.632183742051761
2004,Maine,0.0,0,0,23.0,0.0,100.0,20.0,78,36.0,20.0,88,0.0,0.0,0.0,0,0,80,0.0,11.0,46.0,25,81,81.0,82,45,0,0,92,0.0,81,49.0,67,100.0,60,82,0.0,0.0,29.0,18.0,0.0,0.0,37.0,84.0,47,74,0.0,24.0,77,0.0,29.0,100.0,0.0,73,0.0,0,78,37.0,25.0,0.0,89,100,0.0,0.0,41.0,28.0,69,80,0.0,0.0,50.0,67.0,33.0,74.0,0.0,0.0,0,0.0,0.0,0.0,69,59.0,0.0,0,60,39,0.0,0.0,47,0.0,84,100,28.0,52.0,95.0,58,0.0,0,80.0,93.0,0.0,19.0,91,100.0,96,61,28.0,0.0,0.0,0.0,89,0.0,0.0,57.0,79,0,0.0,82,0,0,65,0.0,78,69,0.0,0.0,75.0,0.0,83,8.685079034219212
2004,Maryland,12.0,0,0,12.0,5.0,18.0,16.0,57,9.0,10.0,60,7.0,8.0,0.0,0,0,71,0.0,0.0,12.0,4,42,57.0,64,47,0,0,67,7.0,58,65.0,92,12.0,76,46,7.0,14.0,8.0,16.0,0.0,0.0,41.0,64.0,62,84,10.0,4.0,69,0.0,24.0,0.0,16.0,53,60.0,0,50,37.0,66.0,0.0,75,75,20.0,0.0,28.0,30.0,37,92,25.0,0.0,58.0,20.0,8.0,56.0,68.0,66.0,0,65.0,18.0,39.0,59,69.0,0.0,0,40,28,0.0,0.0,50,0.0,63,71,7.0,61.0,53.0,75,9.0,0,67.0,29.0,7.0,0.0,65,45.0,77,68,19.0,0.0,23.0,46.0,57,20.0,45.0,40.0,43,0,4.0,61,0,0,52,10.0,47,59,0.0,0.0,65.0,12.0,70,3.230716659936007
2004,Massachusetts,0.0,0,0,17.0,12.0,17.0,13.0,53,4.0,8.0,65,0.0,18.0,0.0,0,0,69,12.0,17.0,26.0,10,45,57.0,60,44,0,0,73,7.0,53,57.0,84,21.0,63,43,2.0,0.0,10.0,16.0,0.0,5.0,47.0,61.0,51,71,26.0,8.0,63,6.0,33.0,6.0,12.0,54,54.0,0,67,32.0,52.0,8.0,73,93,11.0,8.0,17.0,33.0,41,80,14.0,29.0,21.0,29.0,7.0,56.0,28.0,20.0,47.0,11.0,15.0,0.0,52,55.0,5.0,0,32,21,7.0,0.0,44,0.0,48,56,6.0,56.0,56.0,61,6.0,0,79.0,36.0,5.0,3.0,64,45.0,76,52,21.0,14.0,15.0,49.0,56,0.0,94.0,46.0,49,0,7.0,54,0,0,50,4.0,57,52,6.0,28.0,74.0,10.0,69,2.3615618695473226
2004,Michigan,0.0,0,0,11.0,12.0,18.0,13.0,68,17.0,6.0,76,9.0,26.0,15.0,16.0,0,67,10.0,20.0,23.0,3,62,56.0,69,48,0,0,83,9.0,68,60.0,74,18.0,78,63,2.0,9.0,11.0,23.0,0.0,0.0,37.0,62.0,69,76,18.0,7.0,55,0.0,42.0,10.0,20.0,65,49.0,0,52,26.0,52.0,18.0,75,81,4.0,0.0,33.0,24.0,49,87,25.0,17.0,39.0,21.0,7.0,63.0,0.0,0.0,0,49.0,10.0,16.0,60,58.0,6.0,0,52,34,7.0,0.0,64,0.0,61,47,6.0,58.0,59.0,92,15.0,0,63.0,44.0,19.0,3.0,65,18.0,67,72,22.0,0.0,0.0,87.0,100,10.0,0.0,29.0,52,0,4.0,75,43.0,0,48,6.0,69,61,10.0,23.0,55.0,12.0,83,4.710196846423701
